Id,Discussion Category,Comment Text (Coding)
44,"Changes in what, how, when and where students learn?","



We hear a lot about students needing to be able to learn ﾖ

unlearn ﾖ and relearn due to the constant changes.&nbsp; The way students are learning today will be

out-of-date by the time they leave high school.&nbsp;

We need to focus on skills where students can use collaboration and

communication to create instead of just ﾓuseﾔ a resource.&nbsp; In our district, we are moving toward the

flipped classroom model to allow more time for students to focus on these areas

in the classroom setting.&nbsp; It is a

process.



"
45,"Changes in what, how, when and where students learn?","Personalized learning by its very nature demands that students be responsible for their learning, and thus held more accountable than every before. &nbsp;We need teachers who can support students in that transition and make certain that how we facilitate them helps them to accomplish the most gains."
46,"Changes in what, how, when and where students learn?","We are currently in a position at our district that addresses this very question. &nbsp;A few years ago we began the first phases of 1:1 implementation at our high school with a team of 1:1 lead administrators and lead teachers. &nbsp;We researched successful implementation of 1:1, conducted site visits, focused on our vision and goals. Then we looked at the big picture to expand our 1:1 to the middle school and what that meant for students in grades K-6 that were not 1:1. We know that a digital conversion and digital literacy plan had to be implemented K-12 so we took the work to the building levels. &nbsp;Looking at our district board goals and our district technology plan, building teams developed a digital literacy vision. &nbsp;First came teacher knowledge: professional learning and training to determine the elements of student learning that are discussed in this lesson: How, When, Where. &nbsp;In our lower elementary buildings, each are developing their own plans for what role technology plays. &nbsp;To date we've employed an instructional technology specialist K-6 to help make the vision and goals real in the classroom. &nbsp;She works with the building administrators to guide professional learning so that technology is embedded in student learning. &nbsp;We know it is not about the stuff, but rather the learning targets and how technology can improve that experience for students. &nbsp;So- as I stated in a different post for this topic, a systematic approach is necessary. &nbsp;"
47,"Changes in what, how, when and where students learn?","I can easily understand the potential of digital learning at the middle and high school levels, but I'm unsure about how to respond when asked about the proper role of technology in the early elementary grades. &nbsp;People often talk about ""K-12"", but can we really make statements about digital learning that apply across all the grades? &nbsp;I'd love to here from the elementary education folks about this."
48,"Changes in what, how, when and where students learn?",I believe that there is quite a bit of technology out there that can be used for the elementary levels. One great example is the learning table that can be utilized for collaboration even at these early levels. We don't have to tie ourselves to the typical computer.
49,"Changes in what, how, when and where students learn?","In our little rural K-12 school we have students of all ages using technology. &nbsp;We have purchased a few iPods and have quite a few iPads which students use. &nbsp;One of the things that our youngest students have done was to take pictures when on field trips (most recently our trip to the fire station for Fire Prevention Week). &nbsp;When the students returned from their field trip, they chose 3-4 pictures from Photo Stream, wrote stories using descriptive words and complete sentences, and then dictated the stories into the iPads. &nbsp;They came out beautifully and worked in well with the teacher's goal of getting students to write well."
50,"Changes in what, how, when and where students learn?","One of my favorite examples is NC FIRST, which is part of the national robotics competitions program started by Dean Kamen. &nbsp;It involves community volunteers serving as mentors; students gaining support from local businesses for funding; creating a student team with all the needed skills to design, build and document a robot; work outside of school; and participation in a creative robotics competition built around making an intellectual activity have the same excitement, status, and attention as sports often do in schools. &nbsp;What other examples would people suggest as good models of community engagement to further student learning?"
51,"Changes in what, how, when and where students learn?","How do you think community partnerships or internships could affect how, when, and where students learn?"
52,"Changes in what, how, when and where students learn?","I totally agree Robotics has been a wonderful opportunity to partner, and have great value add for students.&nbsp;"
53,"Changes in what, how, when and where students learn?","This is a great example, Glenn! &nbsp;My greatest experiences as an educator is when I've been part of leading learning for students in situations where students get involved with others outside of school to be leaders, thinkers, creators. &nbsp;I like your example of the robotics competitions. &nbsp;When I read this I immediately thought of a dozen students that would gain from this experience based on what I know about their interests!"
54,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
55,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
56,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
57,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
58,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
59,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
60,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
61,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
62,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
63,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
64,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
65,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
66,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
67,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
68,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
69,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
70,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
71,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
72,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
73,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
74,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
75,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
76,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
77,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
78,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
79,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
80,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
81,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
82,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
83,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
84,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
85,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
86,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
87,"Changes in what, how, when and where students learn?",Far too often new technology is purchased and just handed over to the teachers without giving them adequate professional development. &nbsp
